"","site","sr.all","sr.patch","sr.v","sr.w","sr.u","treatment","productivity","bareness","slope","patch","area.meter.sq.","latitude","longitude","elevation","scat.count","scat.herb","connectivity.distance","connectivity.animal","connectivity.hydro","sr.matrix"
"1","222",11,10,4,2,4,"c",10,60,30,"1",711.8530273,38.8623,-122.3622833,471.3,1,0,4175.228576,4,5219.686127,1
"2","222",7,4,2,1,1,"e",47.5,5,30,"2",711.8530273,38.8623,-122.3622833,471.3,1,0,4175.228576,4,5219.686127,3
"3","222",10,8,3,2,3,"ec",8,60,30,"1",711.8530273,38.8623,-122.3622833,471.3,1,0,4175.228576,4,5219.686127,2
"4","222",8,5,3,1,1,"m",36,10,30,"4",711.8530273,38.8623,-122.3622833,471.3,1,0,4175.228576,4,5219.686127,3
"5","222",11,9,2,2,5,"nec",2.5,90,30,"1",711.8530273,38.8623,-122.3622833,471.3,1,0,4175.228576,4,5219.686127,2
"6","223",9,7,2,1,4,"c",1,90,25,"1",2953.340088,38.86201667,-122.3621,470.8,2,2,654.7215232,7,0,2
"7","223",11,8,2,3,3,"e",42.75,5,25,"2",2953.340088,38.86201667,-122.3621,470.8,2,2,654.7215232,7,0,3
"8","223",12,11,2,3,6,"ec",3,80,25,"1",2953.340088,38.86201667,-122.3621,470.8,2,2,654.7215232,7,0,1
"9","223",8,4,2,2,0,"m",30,40,25,"4",2953.340088,38.86201667,-122.3621,470.8,2,2,654.7215232,7,0,4
"10","223",9,8,1,1,6,"nec",2.25,85,25,"1",2953.340088,38.86201667,-122.3621,470.8,2,2,654.7215232,7,0,1
"16","225",11,7,3,2,2,"c",1,90,5,"1",654.7440186,38.86321667,-122.3622667,501.3,10,9,456.8756399,7,1311.522034,4
"17","225",7,3,1,2,0,"e",35,0,5,"2",654.7440186,38.86321667,-122.3622667,501.3,10,9,456.8756399,7,1311.522034,4
"18","225",9,6,2,2,2,"ec",2,80,5,"1",654.7440186,38.86321667,-122.3622667,501.3,10,9,456.8756399,7,1311.522034,3
"19","225",8,3,1,1,1,"m",47.5,5,5,"4",654.7440186,38.86321667,-122.3622667,501.3,10,9,456.8756399,7,1311.522034,5
